Entryx,Select=0,Select=1,Select=2,Select=3,Select=4,Select=5,Select=6,Select=7,Select=8,Select=9,Ultimate,Attainedx
16,0.014809,0.023141,0.017968,0.017366,0.049789,0.075158,0.080785,0.077056,0.076726,0.063991,0.053156,26
17,0.014491,0.020749,0.0143,0.016203,0.050781,0.066032,0.07066,0.066819,0.06595,0.05464,0.044335,27
18,0.013639,0.018872,0.01258,0.016785,0.049449,0.054591,0.060112,0.05638,0.053425,0.043089,0.036942,28
19,0.013372,0.0169,0.011715,0.015952,0.042374,0.042293,0.047345,0.046225,0.044149,0.0355,0.032151,29
20,0.012495,0.015506,0.011147,0.016198,0.034865,0.040256,0.04152,0.036651,0.036679,0.030169,0.028106,30
21,0.01296,0.017401,0.012254,0.015073,0.029727,0.036371,0.035096,0.032634,0.030575,0.026684,0.025725,31
22,0.014423,0.016938,0.01462,0.015909,0.028447,0.033094,0.031585,0.030834,0.027376,0.025566,0.025082,32
23,0.016773,0.018559,0.014359,0.016132,0.02683,0.031752,0.029478,0.030088,0.026336,0.025725,0.022532,33
24,0.018199,0.021326,0.013683,0.016194,0.0278,0.030286,0.030496,0.029168,0.027888,0.025199,0.022267,34
25,0.019207,0.023285,0.014314,0.016373,0.028976,0.028924,0.030737,0.027142,0.030402,0.026151,0.021928,35
26,0.021736,0.024787,0.016334,0.016769,0.028473,0.025991,0.028343,0.026784,0.029704,0.026142,0.021709,36
27,0.023957,0.025662,0.015798,0.016312,0.027885,0.027397,0.028987,0.026588,0.028694,0.02531,0.021339,37
28,0.022731,0.026821,0.019622,0.017125,0.026119,0.027028,0.027677,0.026834,0.026896,0.024886,0.021505,38
29,0.022843,0.025378,0.018943,0.017859,0.024813,0.02713,0.027714,0.027682,0.027574,0.024744,0.021254,39
30,0.024894,0.028281,0.019797,0.018221,0.025239,0.024919,0.027057,0.026281,0.025762,0.025384,0.021942,40
31,0.025657,0.028609,0.021437,0.016168,0.024231,0.024399,0.027222,0.026844,0.025851,0.024653,0.020544,41
32,0.025841,0.028746,0.020456,0.015849,0.025465,0.027017,0.025434,0.02599,0.02319,0.024367,0.020825,42
33,0.026568,0.029264,0.018903,0.017548,0.024772,0.024499,0.025009,0.025081,0.023489,0.023021,0.02096,43
34,0.027286,0.030082,0.020231,0.017915,0.024711,0.024373,0.024462,0.024602,0.022509,0.022707,0.020307,44
35,0.02912,0.030932,0.021871,0.016725,0.026022,0.023638,0.024556,0.02336,0.023297,0.02247,0.020311,45
36,0.030229,0.0291,0.020602,0.018968,0.025179,0.023806,0.025778,0.022769,0.021912,0.023977,0.020864,46
37,0.031484,0.031286,0.0221,0.018115,0.025127,0.024619,0.02373,0.022645,0.022131,0.022576,0.020359,47
38,0.030859,0.032612,0.022504,0.019035,0.024721,0.024948,0.02311,0.024329,0.022001,0.022124,0.020395,48
39,0.032165,0.034727,0.022435,0.017896,0.025031,0.024723,0.023281,0.023496,0.023532,0.022338,0.020788,49
40,0.035615,0.035197,0.02361,0.019798,0.02417,0.024231,0.02159,0.023248,0.022456,0.022524,0.020014,50
41,0.035936,0.036503,0.025048,0.019405,0.023756,0.02354,0.022355,0.023138,0.021666,0.02193,0.020629,51
42,0.038134,0.035422,0.024704,0.020415,0.023557,0.02264,0.022562,0.02245,0.021059,0.022601,0.021147,52
43,0.039885,0.036386,0.024383,0.021227,0.025406,0.023326,0.022492,0.022815,0.02087,0.022015,0.021085,53
44,0.041775,0.036224,0.024731,0.022193,0.023877,0.023457,0.023001,0.022809,0.021018,0.02206,0.021291,54
45,0.043483,0.036613,0.025239,0.020842,0.024313,0.023405,0.022555,0.023435,0.021968,0.022121,0.021937,55
46,0.045351,0.03805,0.025746,0.021659,0.024362,0.02367,0.023592,0.023645,0.023551,0.022921,0.022131,56
47,0.047992,0.038378,0.026761,0.023291,0.024571,0.023129,0.023038,0.022698,0.023684,0.020849,0.022698,57
48,0.051155,0.039639,0.026122,0.023153,0.024742,0.023676,0.023335,0.02292,0.021104,0.022042,0.023822,58
49,0.052547,0.039583,0.026254,0.022723,0.025522,0.023512,0.022911,0.022313,0.024085,0.024923,0.024987,59
50,0.037298,0.030785,0.022032,0.021124,0.02289,0.021844,0.021508,0.021886,0.023665,0.024066,0.025158,60
51,0.046877,0.034763,0.02562,0.023636,0.025661,0.023089,0.023218,0.023891,0.023418,0.024559,0.026691,61
52,0.047609,0.035483,0.025948,0.022855,0.024418,0.023566,0.023857,0.025344,0.024001,0.025501,0.027774,62
53,0.04956,0.037281,0.025666,0.024014,0.025296,0.025535,0.024443,0.024918,0.026271,0.026996,0.028913,63
54,0.051163,0.038294,0.026643,0.024302,0.027733,0.025873,0.024866,0.02568,0.02788,0.028305,0.029673,64
55,0.041627,0.032723,0.023352,0.023341,0.025821,0.023797,0.024021,0.025533,0.026714,0.027013,0.02812,65
56,0.04993,0.036194,0.027011,0.024891,0.02771,0.025693,0.027325,0.02768,0.027961,0.025849,0.03217,66
57,0.051142,0.037545,0.027838,0.027122,0.027654,0.027463,0.028307,0.027706,0.028044,0.03012,0.034475,67
58,0.052796,0.037116,0.028965,0.026716,0.029239,0.027393,0.028011,0.027205,0.030421,0.032327,0.036526,68
59,0.054156,0.039635,0.031137,0.02866,0.031196,0.028132,0.027076,0.031142,0.03252,0.034949,0.038214,69
60,0.054733,0.040743,0.031455,0.029452,0.029658,0.028336,0.029689,0.032108,0.033413,0.036736,0.04103,70
61,0.06242,0.042505,0.033209,0.031489,0.028894,0.032939,0.032992,0.036253,0.039311,0.04157,0.043767,71
62,0.067121,0.048084,0.038302,0.033147,0.034093,0.034971,0.036726,0.038876,0.042402,0.045475,0.046781,72
63,0.079963,0.055521,0.041415,0.040768,0.037425,0.04052,0.043163,0.043178,0.048631,0.04894,0.050292,73
64,0.100669,0.060609,0.049733,0.043582,0.046125,0.044295,0.049059,0.049045,0.054979,0.055358,0.053434,74
65,0.108699,0.068326,0.056379,0.04641,0.051687,0.045036,0.053099,0.054934,0.061211,0.061746,0.057982,75
